user_id,app_page,action_type,duration,time_spent,device_type,location,action_time
1070,home_page,scroll,42,950,tablet,Beijing,2024-05-14 00:55:14
1052,home_page,input,27,827,mobile,Shenzhen,2024-06-20 03:51:32
1160,search_page,scroll,53,652,tablet,Shanghai,2024-05-27 16:58:55
1101,home_page,scroll,35,405,desktop,Shanghai,2024-07-25 10:14:28
1195,home_page,scroll,15,633,tablet,Beijing,2024-10-20 14:45:25
1190,product_page,input,42,387,mobile,Shanghai,2024-07-25 15:12:13
1109,product_page,click,13,510,mobile,Chengdu,2024-11-01 21:00:31
1199,search_page,click,34,253,desktop,Chengdu,2024-02-04 09:19:06
1161,search_page,click,30,412,desktop,Shenzhen,2024-06-11 19:57:00
1147,product_page,scroll,49,203,tablet,Beijing,2024-11-12 02:58:34
1114,search_page,input,47,652,mobile,Chengdu,2024-01-21 01:27:49
1186,search_page,scroll,14,726,desktop,Shanghai,2024-12-26 14:37:22
1061,home_page,scroll,16,176,mobile,Shenzhen,2024-03-28 11:44:41
1135,product_page,click,27,252,mobile,Shenzhen,2024-03-05 10:35:38
1194,search_page,scroll,45,275,desktop,Beijing,2024-12-02 15:08:32
1083,search_page,click,24,541,tablet,Shenzhen,2024-11-02 13:16:57
1022,search_page,click,55,529,desktop,Shanghai,2024-03-05 07:42:59
1003,home_page,input,40,393,tablet,Beijing,2024-03-03 13:24:12
1191,home_page,input,52,755,desktop,Beijing,2024-07-14 13:56:06
1135,home_page,scroll,38,433,mobile,Shenzhen,2024-10-12 20:42:10
1027,home_page,input,53,405,desktop,Guangzhou,2024-04-14 04:43:58
1160,search_page,scroll,3,922,desktop,Guangzhou,2024-11-06 15:19:35
1176,home_page,scroll,8,279,desktop,Shanghai,2024-03-05 14:49:53
1036,product_page,click,19,132,desktop,Shanghai,2024-09-20 13:32:18
1180,search_page,click,15,889,desktop,Chengdu,2024-05-21 12:41:17
1162,search_page,input,10,751,desktop,Chengdu,2024-04-21 18:51:16
1175,home_page,scroll,30,860,desktop,Guangzhou,2024-02-23 18:48:11
1160,home_page,click,39,152,desktop,Chengdu,2024-12-11 08:21:21
1196,home_page,input,14,247,desktop,Shenzhen,2024-01-29 07:25:21
1142,search_page,click,49,773,desktop,Chengdu,2024-12-22 03:46:36
1124,search_page,scroll,3,39,mobile,Guangzhou,2024-10-30 15:46:58
1095,product_page,scroll,55,588,desktop,Chengdu,2024-08-01 00:25:08
1141,product_page,input,51,869,tablet,Chengdu,2024-09-10 11:39:40
1082,search_page,scroll,5,465,tablet,Beijing,2024-09-21 08:45:23
1000,search_page,input,29,641,desktop,Chengdu,2024-11-23 23:23:38
1106,search_page,click,42,126,desktop,Chengdu,2024-02-21 13:51:50
1037,search_page,input,59,831,mobile,Shenzhen,2024-03-29 04:57:51
1052,product_page,scroll,21,212,tablet,Chengdu,2024-05-04 08:11:15
1071,product_page,input,33,862,mobile,Chengdu,2024-09-24 23:25:50
1108,search_page,scroll,40,811,tablet,Guangzhou,2024-03-09 12:58:34
1149,product_page,input,49,969,tablet,Shanghai,2024-08-29 07:38:40
1006,home_page,input,22,148,mobile,Beijing,2024-03-01 14:57:44
1059,home_page,scroll,29,169,desktop,Guangzhou,2024-03-25 22:05:50
1132,home_page,click,16,678,tablet,Shenzhen,2024-02-15 04:22:22
1043,search_page,input,5,120,desktop,Shanghai,2024-11-18 18:55:09
1194,product_page,scroll,36,790,desktop,Chengdu,2024-11-09 13:47:59
1005,product_page,scroll,42,985,tablet,Shanghai,2024-09-16 07:33:19
1078,product_page,input,20,237,mobile,Chengdu,2024-09-30 08:04:04
1123,home_page,click,15,697,mobile,Shenzhen,2024-12-09 13:50:16
1187,search_page,click,17,894,desktop,Chengdu,2024-08-11 18:39:56
1136,home_page,input,10,375,desktop,Beijing,2024-05-05 09:19:44
1076,search_page,click,43,790,mobile,Shanghai,2024-12-25 14:52:30
1124,product_page,input,11,266,mobile,Beijing,2024-12-07 01:47:05
1031,search_page,click,9,936,mobile,Guangzhou,2024-06-25 17:24:50
1126,product_page,scroll,23,287,tablet,Guangzhou,2024-11-02 11:40:51
1122,product_page,click,11,231,tablet,Chengdu,2024-05-06 23:05:50
1107,search_page,input,4,401,tablet,Shenzhen,2024-04-18 08:05:35
1033,home_page,scroll,59,941,desktop,Shenzhen,2024-07-19 10:14:39
1190,home_page,click,9,258,desktop,Chengdu,2024-07-11 16:39:22
1138,product_page,click,47,764,desktop,Guangzhou,2024-03-03 08:44:58
1083,product_page,input,13,542,mobile,Shanghai,2024-08-28 05:52:13
1047,home_page,scroll,56,787,tablet,Beijing,2024-05-08 10:58:35
1165,home_page,click,33,59,tablet,Beijing,2024-08-14 13:50:01
1037,search_page,input,16,101,mobile,Guangzhou,2024-01-05 10:15:09
1030,home_page,click,43,59,tablet,Guangzhou,2024-10-20 14:25:18
1065,home_page,scroll,36,671,desktop,Shenzhen,2024-11-12 17:19:01
1032,home_page,scroll,47,339,tablet,Shenzhen,2024-12-30 10:49:42
1194,search_page,click,19,178,tablet,Guangzhou,2024-01-16 13:47:07
1136,home_page,click,16,899,tablet,Shenzhen,2024-12-03 15:17:25
