grass_region,last_click_date,click_campaign,cost,impression_cnt,click_cnt,non_cohorts_order_cnt_7d,non_cohorts_gmv_7d,cohort_order_cnt_7d,cohort_gmv_7d,session_order_cnt,session_gmv,atc_cnt,month,cohort_order_cnt_1d,cohort_gmv_1d,new_buyer_cnt_1d,session_cnt,app_session_cnt,web_session_cnt,Upper Campaign,lower campaign name,Campaign Type,Category,campaign_name,BE_category,type,testgroup,campaign name (for AB TEST comparison),cpm
TH,7月16日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0-control-opatest,540.00923,1224678,10691,628,13564.50918,1400,26194.22897,335,7278.667324,5051,2025年7月,762,15817.43441,5,12507,5851,2887,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0-control-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0-CONTROL-OPATEST,100535-Audio,Control,,Audio,0.00044094
TH,7月16日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_1-opatest,81.406994,188175,1434,124,1648.232541,212,2551.422589,67,1139.210494,1020,2025年7月,132,1760.068974,1,1839,848,333,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_1-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_1-OPATEST,100535-Audio,Test,Group 1,Audio,0.000432613
TH,7月16日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_2-opatest,81.635187,152841,1235,76,2605.031408,201,7370.181057,50,2184.228353,536,2025年7月,112,5167.323562,1,1371,759,285,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_2-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_2-OPATEST,100535-Audio,Test,Group 2,Audio,0.000534118
TH,7月16日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_3-opatest,80.73627,177404,1323,81,3570.605986,173,5247.194544,41,1444.820791,549,2025年7月,112,3956.798867,1,1427,823,271,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_3-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_3-OPATEST,100535-Audio,Test,Group 3,Audio,0.000455098
TH,7月16日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_4-opatest,81.339276,213413,1585,77,1819.066387,171,4239.675145,57,1587.264441,669,2025年7月,98,2147.555118,0,1782,911,401,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_4-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_4-OPATEST,100535-Audio,Test,Group 4,Audio,0.000381136
TH,7月16日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_5-opatest,217.212646,420279,4047,290,5476.013056,517,10833.1999,159,2797.419633,1944,2025年7月,311,5688.169725,1,5001,2247,1057,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_5-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_5-OPATEST,100535-Audio,Test,Group 5,Audio,0.00051683
TH,7月16日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0-control-opatest,893.215735,1274743,11159,704,7421.818574,1993,21254.83927,299,2549.236359,5318,2025年7月,802,7996.235374,1,14149,6485,1623,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0-control-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0-CONTROL-OPATEST,100643-Books & Magazines,Control,,Book&Magazines,0.000700703
TH,7月16日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_1-opatest,134.141013,181186,1524,125,2272.724473,304,4265.426777,49,1322.669048,829,2025年7月,131,2245.134869,0,2003,881,241,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_1-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_1-OPATEST,100643-Books & Magazines,Test,Group 1,Book&Magazines,0.00074035
TH,7月16日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_2-opatest,134.733945,160923,1515,81,695.8985097,240,2475.435706,47,344.9932258,586,2025年7月,120,1036.11898,3,1788,929,207,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_2-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_2-OPATEST,100643-Books & Magazines,Test,Group 2,Book&Magazines,0.000837257
TH,7月16日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_3-opatest,134.24275,178242,1298,100,868.7030422,282,2562.415322,72,592.6530361,597,2025年7月,151,1196.421973,0,1549,801,221,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_3-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_3-OPATEST,100643-Books & Magazines,Test,Group 3,Book&Magazines,0.000753149
