coupon_id,cust_id,status,issue_date,expire_date,discount_amount,coupon_type,used_date,used_order_id,grass_date
CP00000001,1000176,已用,2025/11/20,2025/11/27,27.0,cash,2025/11/20,16,2025/11/20
CP00000002,1001669,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000003,1000173,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000004,1001620,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000005,1002994,可用,2025/11/20,2025/11/27,47.0,cash,,,2025/11/20
CP00000006,1001403,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000007,1002842,已用,2025/11/20,2025/11/27,35.0,cash,2025/11/20,28,2025/11/20
CP00000008,1001748,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000009,1000074,已用,2025/11/20,2025/11/27,0.8,discount,2025/11/20,33,2025/11/20
CP00000010,1000741,可用,2025/11/20,2025/11/27,31.0,cash,,,2025/11/20
CP00000011,1001127,可用,2025/11/20,2025/11/27,46.0,cash,,,2025/11/20
CP00000012,1000974,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000013,1002773,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000014,1001510,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000015,1001373,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000016,1002873,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000017,1001784,已用,2025/11/20,2025/11/27,9.0,cash,2025/11/20,25,2025/11/20
CP00000018,1000540,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000019,1001264,可用,2025/11/20,2025/11/27,49.0,cash,,,2025/11/20
CP00000020,1002128,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000021,1001384,可用,2025/11/20,2025/11/27,18.0,cash,,,2025/11/20
CP00000022,1001410,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000023,1000378,已用,2025/11/20,2025/11/27,31.0,cash,2025/11/20,6,2025/11/20
CP00000024,1000150,可用,2025/11/20,2025/11/27,7.0,cash,,,2025/11/20
CP00000025,1002544,可用,2025/11/20,2025/11/27,12.0,cash,,,2025/11/20
CP00000026,1001046,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000027,1001316,可用,2025/11/20,2025/11/27,5.0,cash,,,2025/11/20
CP00000028,1001779,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000029,1002129,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000030,1000394,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000031,1001383,已用,2025/11/20,2025/11/27,0.9,discount,2025/11/20,20,2025/11/20
CP00000032,1000347,可用,2025/11/20,2025/11/27,21.0,cash,,,2025/11/20
CP00000033,1002017,可用,2025/11/20,2025/11/27,48.0,cash,,,2025/11/20
CP00000034,1000107,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000035,1002849,可用,2025/11/20,2025/11/27,42.0,cash,,,2025/11/20
CP00000036,1001756,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000037,1000315,可用,2025/11/20,2025/11/27,6.0,cash,,,2025/11/20
CP00000038,1001714,可用,2025/11/20,2025/11/27,41.0,cash,,,2025/11/20
CP00000039,1000570,可用,2025/11/20,2025/11/27,31.0,cash,,,2025/11/20
CP00000040,1002583,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000041,1002547,可用,2025/11/20,2025/11/27,47.0,cash,,,2025/11/20
CP00000042,1000497,可用,2025/11/20,2025/11/27,45.0,cash,,,2025/11/20
CP00000043,1002248,可用,2025/11/20,2025/11/27,5.0,cash,,,2025/11/20
CP00000044,1002117,可用,2025/11/20,2025/11/27,16.0,cash,,,2025/11/20
CP00000045,1001753,可用,2025/11/20,2025/11/27,22.0,cash,,,2025/11/20
CP00000046,1000528,已用,2025/11/20,2025/11/27,37.0,cash,2025/11/20,31,2025/11/20
CP00000047,1002953,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000048,1002440,可用,2025/11/20,2025/11/27,27.0,cash,,,2025/11/20
