biz_no,open_id,session_id,app_page,action_type,time_spent,device_type,location,action_time,ip_city,page_value,grass_date
1,op999875,op999875_20251120_1,home_page,swipe,5073,tablet,上海,2025-11-20 03:05:15,杭州,,2025-11-20
2,op999875,op999875_20251120_1,cart_page,scroll,18821,desktop,深圳,2025-11-20 03:11:03,杭州,,2025-11-20
3,op1000775,op1000775_20251120_1,home_page,input,26705,mobile,上海,2025-11-20 10:19:21,天津,,2025-11-20
4,op1000775,op1000775_20251120_1,cart_page,click,27471,desktop,杭州,2025-11-20 10:25:13,武汉,,2025-11-20
5,op1000775,op1000775_20251120_2,home_page,click,7509,tablet,重庆,2025-11-20 19:38:14,深圳,,2025-11-20
6,op1000775,op1000775_20251120_2,profile_page,swipe,20758,desktop,杭州,2025-11-20 19:39:40,南京,,2025-11-20
7,op1000775,op1000775_20251120_2,home_page,scroll,8087,tablet,杭州,2025-11-20 19:41:11,武汉,,2025-11-20
8,op1000775,op1000775_20251120_2,cart_page,input,9134,mobile,北京,2025-11-20 19:44:38,北京,,2025-11-20
9,op1000775,op1000775_20251120_2,product_page,tap,22945,desktop,重庆,2025-11-20 19:48:15,天津,90063,2025-11-20
10,op1000775,op1000775_20251120_3,home_page,scroll,29948,tablet,北京,2025-11-20 00:05:58,武汉,,2025-11-20
11,op1000775,op1000775_20251120_3,home_page,tap,16097,desktop,北京,2025-11-20 00:07:03,南京,,2025-11-20
12,op1000775,op1000775_20251120_3,home_page,scroll,22651,desktop,上海,2025-11-20 00:10:09,苏州,,2025-11-20
13,op1000775,op1000775_20251120_3,home_page,scroll,13103,desktop,重庆,2025-11-20 00:15:41,天津,,2025-11-20
14,op1000775,op1000775_20251120_3,cart_page,tap,15699,mobile,深圳,2025-11-20 00:17:09,上海,,2025-11-20
15,op1001929,op1001929_20251120_1,home_page,tap,14074,tablet,杭州,2025-11-20 21:37:09,北京,,2025-11-20
16,op1001929,op1001929_20251120_1,home_page,swipe,29841,tablet,西安,2025-11-20 21:42:56,成都,,2025-11-20
17,op1001929,op1001929_20251120_1,cart_page,swipe,17608,tablet,武汉,2025-11-20 21:44:30,北京,,2025-11-20
18,op1001929,op1001929_20251120_1,home_page,click,9503,desktop,上海,2025-11-20 21:49:00,广州,,2025-11-20
19,op1001929,op1001929_20251120_2,home_page,scroll,13460,desktop,深圳,2025-11-20 21:09:31,南京,,2025-11-20
20,op1001929,op1001929_20251120_2,home_page,click,6171,desktop,武汉,2025-11-20 21:14:48,北京,,2025-11-20
21,op1001929,op1001929_20251120_2,cart_page,swipe,19339,desktop,北京,2025-11-20 21:19:34,南京,,2025-11-20
22,op1001929,op1001929_20251120_2,cart_page,swipe,22777,desktop,上海,2025-11-20 21:22:36,天津,,2025-11-20
23,op1001929,op1001929_20251120_2,search_page,scroll,24376,mobile,杭州,2025-11-20 21:24:26,天津,数码,2025-11-20
24,op1001929,op1001929_20251120_3,home_page,tap,22047,mobile,北京,2025-11-20 11:31:20,苏州,,2025-11-20
25,op1001929,op1001929_20251120_3,cart_page,scroll,11921,desktop,南京,2025-11-20 11:34:26,武汉,,2025-11-20
26,op1001930,op1001930_20251120_1,home_page,tap,14816,desktop,杭州,2025-11-20 05:24:04,南京,,2025-11-20
27,op1001930,op1001930_20251120_1,cart_page,scroll,24604,tablet,重庆,2025-11-20 05:28:05,杭州,,2025-11-20
28,op1001930,op1001930_20251120_1,profile_page,tap,11236,mobile,深圳,2025-11-20 05:32:05,北京,,2025-11-20
29,op1001930,op1001930_20251120_1,cart_page,input,4349,tablet,北京,2025-11-20 05:35:04,广州,,2025-11-20
30,op1001930,op1001930_20251120_1,cart_page,scroll,28050,desktop,南京,2025-11-20 05:38:38,苏州,,2025-11-20
31,op1001930,op1001930_20251120_2,home_page,input,18518,tablet,西安,2025-11-20 00:37:50,天津,,2025-11-20
32,op1001930,op1001930_20251120_2,home_page,swipe,5504,tablet,南京,2025-11-20 00:41:59,苏州,,2025-11-20
33,op1001930,op1001930_20251120_2,profile_page,tap,19866,mobile,南京,2025-11-20 00:43:38,深圳,,2025-11-20
34,op1001930,op1001930_20251120_3,home_page,tap,25795,desktop,成都,2025-11-20 09:07:55,天津,,2025-11-20
35,op1001930,op1001930_20251120_3,product_page,scroll,24420,tablet,深圳,2025-11-20 09:10:08,武汉,90029,2025-11-20
36,op1001421,op1001421_20251120_1,home_page,input,19228,desktop,深圳,2025-11-20 05:19:23,上海,,2025-11-20
37,op1001421,op1001421_20251120_1,product_page,input,10123,tablet,武汉,2025-11-20 05:21:39,深圳,90029,2025-11-20
38,op1001421,op1001421_20251120_1,profile_page,input,22308,mobile,成都,2025-11-20 05:24:56,上海,,2025-11-20
39,op1001421,op1001421_20251120_1,cart_page,swipe,14174,mobile,武汉,2025-11-20 05:29:53,深圳,,2025-11-20
40,op1001549,op1001549_20251120_1,home_page,tap,18728,desktop,上海,2025-11-20 22:21:07,苏州,,2025-11-20
41,op1001549,op1001549_20251120_1,product_page,click,9896,mobile,武汉,2025-11-20 22:24:33,苏州,90098,2025-11-20
42,op1001549,op1001549_20251120_1,product_page,input,21399,mobile,南京,2025-11-20 22:28:49,苏州,90191,2025-11-20
43,op1001549,op1001549_20251120_2,home_page,input,17604,tablet,重庆,2025-11-20 22:41:09,深圳,,2025-11-20
44,op1001549,op1001549_20251120_2,search_page,input,20279,tablet,广州,2025-11-20 22:42:16,深圳,食品,2025-11-20
45,op1001549,op1001549_20251120_2,product_page,tap,23266,mobile,上海,2025-11-20 22:46:39,成都,90098,2025-11-20
46,op1001549,op1001549_20251120_3,home_page,click,14843,desktop,上海,2025-11-20 11:09:57,天津,,2025-11-20
47,op1001549,op1001549_20251120_3,cart_page,tap,27460,tablet,成都,2025-11-20 11:14:17,成都,,2025-11-20
48,op999889,op999889_20251120_1,home_page,input,13202,desktop,上海,2025-11-20 03:37:08,上海,,2025-11-20
49,op999889,op999889_20251120_1,home_page,click,20468,desktop,重庆,2025-11-20 03:40:59,北京,,2025-11-20
50,op999889,op999889_20251120_1,search_page,tap,20017,tablet,北京,2025-11-20 03:42:17,南京,数码,2025-11-20
51,op999889,op999889_20251120_2,home_page,swipe,17302,tablet,上海,2025-11-20 23:59:25,南京,,2025-11-20
52,op999889,op999889_20251120_2,search_page,scroll,1470,tablet,广州,2025-11-20 23:59:58,广州,数码,2025-11-20
53,op999889,op999889_20251120_2,profile_page,input,18613,mobile,重庆,2025-11-20 23:59:58,杭州,,2025-11-20
54,op999889,op999889_20251120_2,search_page,scroll,7300,desktop,重庆,2025-11-20 23:59:58,北京,服装,2025-11-20
55,op1001557,op1001557_20251120_1,home_page,scroll,26245,tablet,广州,2025-11-20 12:59:27,深圳,,2025-11-20
56,op1001557,op1001557_20251120_1,profile_page,input,20780,desktop,广州,2025-11-20 13:02:26,上海,,2025-11-20
57,op1001557,op1001557_20251120_1,home_page,swipe,6251,mobile,深圳,2025-11-20 13:04:35,杭州,,2025-11-20
58,op1001557,op1001557_20251120_1,product_page,swipe,15030,tablet,武汉,2025-11-20 13:08:00,北京,90064,2025-11-20
59,op1001557,op1001557_20251120_2,home_page,scroll,10205,desktop,深圳,2025-11-20 12:02:29,苏州,,2025-11-20
60,op1001557,op1001557_20251120_2,search_page,tap,27112,desktop,南京,2025-11-20 12:03:29,苏州,服装,2025-11-20
61,op1001174,op1001174_20251120_1,home_page,swipe,19311,mobile,成都,2025-11-20 18:34:36,天津,,2025-11-20
62,op1001174,op1001174_20251120_1,cart_page,input,15551,mobile,杭州,2025-11-20 18:38:44,南京,,2025-11-20
63,op1001174,op1001174_20251120_1,search_page,scroll,21925,tablet,深圳,2025-11-20 18:41:30,深圳,服装,2025-11-20
64,op1001174,op1001174_20251120_1,home_page,scroll,18326,tablet,成都,2025-11-20 18:45:51,成都,,2025-11-20
65,op1001174,op1001174_20251120_1,profile_page,input,23820,desktop,南京,2025-11-20 18:50:54,武汉,,2025-11-20
66,op1000279,op1000279_20251120_1,home_page,tap,6728,tablet,北京,2025-11-20 20:12:05,苏州,,2025-11-20
67,op1000279,op1000279_20251120_1,product_page,tap,11626,tablet,广州,2025-11-20 20:15:08,上海,90036,2025-11-20
68,op1000279,op1000279_20251120_1,search_page,input,22391,tablet,杭州,2025-11-20 20:19:29,北京,服装,2025-11-20
69,op1000279,op1000279_20251120_1,home_page,click,5585,mobile,北京,2025-11-20 20:23:47,苏州,,2025-11-20
70,op1000279,op1000279_20251120_2,home_page,swipe,15365,tablet,成都,2025-11-20 21:42:28,杭州,,2025-11-20
71,op1000279,op1000279_20251120_2,product_page,swipe,6561,mobile,成都,2025-11-20 21:48:02,南京,90036,2025-11-20
72,op1000279,op1000279_20251120_2,home_page,swipe,12587,desktop,上海,2025-11-20 21:53:05,深圳,,2025-11-20
73,op1000279,op1000279_20251120_2,cart_page,swipe,9091,mobile,杭州,2025-11-20 21:56:50,成都,,2025-11-20
74,op1000279,op1000279_20251120_2,home_page,swipe,20951,mobile,广州,2025-11-20 22:02:22,北京,,2025-11-20
75,op1000279,op1000279_20251120_3,home_page,scroll,29871,tablet,上海,2025-11-20 19:59:08,深圳,,2025-11-20
76,op1000279,op1000279_20251120_3,cart_page,click,24434,tablet,武汉,2025-11-20 20:03:40,杭州,,2025-11-20
77,op1000279,op1000279_20251120_3,cart_page,click,28609,tablet,广州,2025-11-20 20:05:57,杭州,,2025-11-20
78,op1000279,op1000279_20251120_3,search_page,input,9573,tablet,南京,2025-11-20 20:07:49,苏州,服装,2025-11-20
79,op1001304,op1001304_20251120_1,home_page,swipe,24087,desktop,深圳,2025-11-20 22:06:11,广州,,2025-11-20
80,op1001304,op1001304_20251120_1,product_page,tap,5041,mobile,西安,2025-11-20 22:10:43,苏州,90059,2025-11-20
81,op1001304,op1001304_20251120_1,cart_page,swipe,27342,desktop,重庆,2025-11-20 22:16:10,天津,,2025-11-20
82,op1001304,op1001304_20251120_1,cart_page,tap,26441,mobile,重庆,2025-11-20 22:17:29,广州,,2025-11-20
83,op1001304,op1001304_20251120_2,home_page,click,9986,tablet,北京,2025-11-20 18:47:32,成都,,2025-11-20
84,op1001304,op1001304_20251120_2,home_page,click,29241,desktop,重庆,2025-11-20 18:53:19,南京,,2025-11-20
85,op1001304,op1001304_20251120_2,search_page,scroll,9775,mobile,成都,2025-11-20 18:59:00,成都,食品,2025-11-20
86,op1001304,op1001304_20251120_2,profile_page,scroll,18087,mobile,成都,2025-11-20 19:04:50,深圳,,2025-11-20
87,op1001304,op1001304_20251120_2,product_page,click,22170,desktop,西安,2025-11-20 19:08:51,南京,90059,2025-11-20
88,op1001304,op1001304_20251120_3,home_page,tap,19253,mobile,北京,2025-11-20 05:36:02,上海,,2025-11-20
89,op1001304,op1001304_20251120_3,home_page,click,7065,mobile,北京,2025-11-20 05:37:03,深圳,,2025-11-20
90,op1001304,op1001304_20251120_3,cart_page,swipe,16116,tablet,南京,2025-11-20 05:38:05,上海,,2025-11-20
91,op1001818,op1001818_20251120_1,home_page,tap,3739,tablet,成都,2025-11-20 22:27:31,深圳,,2025-11-20
