order_id,cust_id,item_id,channel,original_price,discounted_price,actual_amount,coupon_discount,is_coupon_used,coupon_id,is_discounted,discount_rate,grass_date,coupon_type
1,1001127,90033,淘宝,345,276,276.0,0.0,N,,True,0.2,2025/11/20,nan
2,1001373,90101,拼多多,342,307,307.0,0.0,N,,True,0.1,2025/11/20,nan
3,1001384,90133,拼多多,402,321,321.0,0.0,N,,True,0.2,2025/11/20,nan
4,1001714,90088,淘宝,154,154,154.0,0.0,N,,False,0.0,2025/11/20,nan
5,1000315,90037,拼多多,209,209,209.0,0.0,N,,False,0.0,2025/11/20,nan
6,1000378,90066,淘宝,195,195,164.0,31.0,Y,CP00000023,False,0.0,2025/11/20,cash
7,1001046,90165,淘宝,497,497,497.0,0.0,N,,False,0.0,2025/11/20,nan
8,1000150,90021,拼多多,118,82,82.0,0.0,N,,True,0.3,2025/11/20,nan
9,1002849,90139,淘宝,317,317,317.0,0.0,N,,False,0.0,2025/11/20,nan
10,1002994,90050,淘宝,197,197,197.0,0.0,N,,False,0.0,2025/11/20,nan
11,1001205,90197,淘宝,199,199,199.0,0.0,N,,False,0.0,2025/11/20,nan
12,1000533,90195,拼多多,89,62,52.7,0.85,Y,CP00000052,True,0.3,2025/11/20,discount
13,1002129,90029,拼多多,61,61,61.0,0.0,N,,False,0.0,2025/11/20,nan
14,1002196,90185,拼多多,439,439,439.0,0.0,N,,False,0.0,2025/11/20,nan
15,1001669,90162,拼多多,131,104,104.0,0.0,N,,True,0.2,2025/11/20,nan
16,1000176,90194,拼多多,238,238,211.0,27.0,Y,CP00000001,False,0.0,2025/11/20,cash
17,1001503,90059,拼多多,420,420,420.0,0.0,N,,False,0.0,2025/11/20,nan
18,1002583,90192,淘宝,195,195,195.0,0.0,N,,False,0.0,2025/11/20,nan
19,1000088,90139,拼多多,317,285,285.0,0.0,N,,True,0.1,2025/11/20,nan
20,1001383,90099,淘宝,50,45,40.5,0.9,Y,CP00000031,True,0.1,2025/11/20,discount
21,1000974,90063,拼多多,190,190,190.0,0.0,N,,False,0.0,2025/11/20,nan
22,1002017,90132,淘宝,134,134,134.0,0.0,N,,False,0.0,2025/11/20,nan
23,1001620,90029,淘宝,61,61,61.0,0.0,N,,False,0.0,2025/11/20,nan
24,1001756,90064,拼多多,287,287,287.0,0.0,N,,False,0.0,2025/11/20,nan
25,1001784,90151,淘宝,335,268,259.0,9.0,Y,CP00000017,True,0.2,2025/11/20,cash
26,1000190,90012,淘宝,295,295,284.0,11.0,Y,CP00000057,False,0.0,2025/11/20,cash
27,1002128,90043,淘宝,493,345,345.0,0.0,N,,True,0.3,2025/11/20,nan
28,1002842,90104,淘宝,81,81,46.0,35.0,Y,CP00000007,False,0.0,2025/11/20,cash
29,1000394,90033,拼多多,345,345,345.0,0.0,N,,False,0.0,2025/11/20,nan
30,1000478,90036,拼多多,332,265,265.0,0.0,N,,True,0.2,2025/11/20,nan
31,1000528,90148,拼多多,470,470,433.0,37.0,Y,CP00000046,False,0.0,2025/11/20,cash
32,1001748,90098,拼多多,95,95,95.0,0.0,N,,False,0.0,2025/11/20,nan
33,1000074,90169,拼多多,61,61,48.8,0.8,Y,CP00000009,False,0.0,2025/11/20,discount
34,1000173,90129,拼多多,439,395,395.0,0.0,N,,True,0.1,2025/11/20,nan
35,1000129,90030,淘宝,414,331,331.0,0.0,N,,True,0.2,2025/11/21,nan
36,1000061,90132,拼多多,134,134,134.0,0.0,N,,False,0.0,2025/11/21,nan
37,1000696,90042,拼多多,91,91,91.0,0.0,N,,False,0.0,2025/11/21,nan
38,1002668,90112,拼多多,316,316,316.0,0.0,N,,False,0.0,2025/11/21,nan
39,1001053,90028,淘宝,236,236,188.8,0.8,Y,CP00000074,False,0.0,2025/11/21,discount
40,1002741,90193,拼多多,262,262,238.0,24.0,Y,CP00000067,False,0.0,2025/11/21,cash
41,1001201,90034,淘宝,191,191,191.0,0.0,N,,False,0.0,2025/11/21,nan
42,1000796,90091,拼多多,99,99,99.0,0.0,N,,False,0.0,2025/11/21,nan
43,1000553,90182,拼多多,373,373,373.0,0.0,N,,False,0.0,2025/11/21,nan
44,1000874,90062,淘宝,230,230,230.0,0.0,N,,False,0.0,2025/11/21,nan
45,1001619,90162,拼多多,131,131,104.8,0.8,Y,CP00000120,False,0.0,2025/11/21,discount
46,1000763,90178,淘宝,112,89,71.2,0.8,Y,CP00000104,True,0.2,2025/11/21,discount
47,1000665,90088,拼多多,154,107,107.0,0.0,N,,True,0.3,2025/11/21,nan
48,1000498,90147,拼多多,214,214,164.0,50.0,Y,CP00000097,False,0.0,2025/11/21,cash
49,1001601,90158,淘宝,82,82,82.0,0.0,N,,False,0.0,2025/11/21,nan
50,1002397,90130,拼多多,65,45,36.0,0.8,Y,CP00000083,True,0.3,2025/11/21,discount
51,1000156,90149,拼多多,71,71,71.0,0.0,N,,False,0.0,2025/11/21,nan
52,1001575,90169,淘宝,61,61,61.0,0.0,N,,False,0.0,2025/11/21,nan
53,1002468,90183,拼多多,257,257,257.0,0.0,N,,False,0.0,2025/11/21,nan
54,1002740,90169,拼多多,61,54,54.0,0.0,N,,True,0.1,2025/11/21,nan
55,1001567,90105,淘宝,66,66,52.8,0.8,Y,CP00000086,False,0.0,2025/11/21,discount
56,1002259,90106,拼多多,437,305,305.0,0.0,N,,True,0.3,2025/11/21,nan
57,1001444,90052,拼多多,108,75,60.0,0.8,Y,CP00000094,True,0.3,2025/11/21,discount
58,1001868,90185,淘宝,439,307,307.0,0.0,N,,True,0.3,2025/11/21,nan
59,1001064,90074,拼多多,491,392,354.0,38.0,Y,CP00000078,True,0.2,2025/11/21,cash
60,1001632,90005,淘宝,141,141,126.0,15.0,Y,CP00000102,False,0.0,2025/11/21,cash
61,1002730,90118,淘宝,497,497,497.0,0.0,N,,False,0.0,2025/11/21,nan
62,1001934,90041,拼多多,104,104,71.0,33.0,Y,CP00000121,False,0.0,2025/11/21,cash
63,1000082,90101,淘宝,342,342,342.0,0.0,N,,False,0.0,2025/11/21,nan
64,1001594,90057,淘宝,383,268,214.4,0.8,Y,CP00000082,True,0.3,2025/11/21,discount
