Feature,Importance
cust_age,0.30681246391388145
item_price,0.1406501585892569
cust_open_day,0.11843556777152825
cust_open_month,0.09336457134064362
cust_city_type,0.06558914685449765
item_type,0.046561789594443743
cust_revenue_type,0.03633473388523957
item_item_platform,0.032449620356606576
cust_sex,0.02892097808028161
item_is_discounted,0.02347766080881588
time_spent,0.022502035701808806
duration,0.020880346702028957
action_minute,0.020429844096372517
action_hour,0.01808304032591207
location,0.008686213689599688
action_type,0.0057965357724460605
device_type,0.005606501179487432
app_page,0.005418791337149313
cust_open_year,0.0
