cust_id,open_id,orders_cnt,sex,n_age,ltv_360d,open_date,last_visit_date,city_level,create_timestamp,region,fixed_random_num,grass_date
1002117,op1001918,0,1,30,A,2025/11/20,2025/11/20,5,2025/11/20 0:00,西南,65,2025/11/20
1002248,op1002049,0,1,47,A,2025/11/20,2025/11/20,1,2025/11/20 0:00,西南,84,2025/11/20
1000074,op999875,1,1,22,B,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,87,2025/11/20
1000974,op1000775,1,1,41,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,78,2025/11/20
1002128,op1001929,1,1,66,C,2025/11/20,2025/11/20,1,2025/11/20 0:00,华东,64,2025/11/20
1002129,op1001930,1,0,69,C,2025/11/20,2025/11/20,5,2025/11/20 0:00,华东,45,2025/11/20
1001620,op1001421,1,1,42,A,2025/11/20,2025/11/20,4,2025/11/20 0:00,华东,69,2025/11/20
1001748,op1001549,1,0,21,A,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,23,2025/11/20
1002773,op1002574,0,1,34,B,2025/11/20,2025/11/20,1,2025/11/20 0:00,西南,58,2025/11/20
1000088,op999889,1,0,47,B,2025/11/20,2025/11/20,5,2025/11/20 0:00,华东,92,2025/11/20
1001753,op1001554,0,1,35,C,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,2,2025/11/20
1000347,op1000148,0,0,49,C,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,40,2025/11/20
1001756,op1001557,1,0,68,C,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,62,2025/11/20
1001373,op1001174,1,1,70,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,65,2025/11/20
1000478,op1000279,1,1,27,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,36,2025/11/20
1001503,op1001304,1,0,53,B,2025/11/20,2025/11/20,1,2025/11/20 0:00,华东,54,2025/11/20
1002017,op1001818,1,1,27,C,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,86,2025/11/20
1001379,op1001180,0,0,34,A,2025/11/20,2025/11/20,5,2025/11/20 0:00,西南,37,2025/11/20
1000741,op1000542,0,0,18,C,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,64,2025/11/20
1001510,op1001311,0,0,54,C,2025/11/20,2025/11/20,3,2025/11/20 0:00,华东,83,2025/11/20
1001127,op1000928,1,1,42,B,2025/11/20,2025/11/20,2,2025/11/20 0:00,华东,55,2025/11/20
1001384,op1001185,1,1,27,A,2025/11/20,2025/11/20,3,2025/11/20 0:00,华东,73,2025/11/20
1001383,op1001184,1,0,21,B,2025/11/20,2025/11/20,5,2025/11/20 0:00,西南,77,2025/11/20
1000107,op999908,0,0,21,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,28,2025/11/20
1002544,op1002345,0,1,37,A,2025/11/20,2025/11/20,5,2025/11/20 0:00,西南,20,2025/11/20
1001264,op1001065,0,1,40,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,华东,28,2025/11/20
1000497,op1000298,0,0,40,A,2025/11/20,2025/11/20,4,2025/11/20 0:00,华东,38,2025/11/20
1002547,op1002348,0,0,63,C,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,29,2025/11/20
1001779,op1001580,0,1,32,B,2025/11/20,2025/11/20,1,2025/11/20 0:00,华东,23,2025/11/20
1001784,op1001585,1,0,60,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,73,2025/11/20
1001401,op1001202,0,1,65,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,34,2025/11/20
1000378,op1000179,1,0,70,C,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,18,2025/11/20
1001403,op1001204,0,1,66,A,2025/11/20,2025/11/20,5,2025/11/20 0:00,西南,7,2025/11/20
1001410,op1001211,0,0,51,C,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,10,2025/11/20
1001669,op1001470,1,1,65,B,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,41,2025/11/20
1002440,op1002241,0,0,39,C,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,83,2025/11/20
1001161,op1000962,0,1,62,C,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,21,2025/11/20
1000394,op1000195,1,1,33,A,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,31,2025/11/20
