item_id,category,is_eligible,price,cost_price,is_discounted,discount_rate,rating,Origin,grass_date
90001,服装,Y,268,96,False,0.0,2,江苏,2025/11/20
90002,服装,Y,396,255,True,0.1,3,山东,2025/11/20
90003,食品,Y,330,162,False,0.0,1,广东,2025/11/20
90004,服装,Y,486,282,False,0.0,2,浙江,2025/11/20
90005,数码,Y,112,47,True,0.2,4,江苏,2025/11/20
90006,服装,Y,244,162,True,0.2,5,福建,2025/11/20
90007,食品,Y,112,49,False,0.0,5,江苏,2025/11/20
90008,服装,Y,232,124,False,0.0,3,广东,2025/11/20
90009,数码,Y,369,164,True,0.2,3,浙江,2025/11/20
90010,食品,Y,461,272,False,0.0,1,浙江,2025/11/20
90011,服装,Y,124,49,False,0.0,5,山东,2025/11/20
90012,服装,Y,295,176,False,0.0,3,浙江,2025/11/20
90013,数码,Y,486,202,False,0.0,4,浙江,2025/11/20
90014,食品,Y,447,242,False,0.0,2,广东,2025/11/20
90015,服装,Y,367,180,False,0.0,5,浙江,2025/11/20
90016,食品,Y,166,91,False,0.0,4,山东,2025/11/20
90017,数码,Y,248,98,False,0.0,3,广东,2025/11/20
90018,服装,Y,47,29,True,0.3,1,山东,2025/11/20
90019,数码,Y,58,34,False,0.0,3,江苏,2025/11/20
90020,数码,Y,433,238,False,0.0,3,福建,2025/11/20
90021,服装,Y,106,65,True,0.1,5,山东,2025/11/20
90022,食品,Y,442,148,False,0.0,2,福建,2025/11/20
90023,数码,Y,333,199,False,0.0,3,浙江,2025/11/20
90024,食品,Y,372,144,True,0.2,3,广东,2025/11/20
90025,数码,Y,226,177,True,0.3,3,浙江,2025/11/20
90026,服装,Y,78,45,False,0.0,2,江苏,2025/11/20
90027,数码,Y,102,49,True,0.2,4,浙江,2025/11/20
90028,食品,Y,236,76,False,0.0,3,江苏,2025/11/20
90029,数码,N,61,18,False,0.0,3,江苏,2025/11/20
90030,服装,Y,289,135,True,0.3,2,山东,2025/11/20
90031,食品,Y,356,197,False,0.0,3,浙江,2025/11/20
90032,服装,Y,185,98,False,0.0,3,浙江,2025/11/20
90033,服装,Y,276,125,True,0.2,1,广东,2025/11/20
90034,服装,Y,191,75,False,0.0,5,山东,2025/11/20
90035,服装,Y,465,238,False,0.0,5,山东,2025/11/20
90036,数码,Y,332,165,False,0.0,1,福建,2025/11/20
90037,服装,Y,146,120,True,0.3,4,浙江,2025/11/20
90038,食品,N,154,83,True,0.3,1,广东,2025/11/20
90039,服装,Y,98,57,False,0.0,5,浙江,2025/11/20
